Country,Assessment,WB_CODE,TERRITORY1,ISO_TER1,SOVEREIGN1,ISO_SOV1,FLD_PROTECTION,ISO_code,Jurisdiction,Juris_ISO
Saint Martin,Partial,MAF,Collectivity of Saint Martin,MAF,France,FRA,SaintMartin,MAF,Collectivity of Saint Martin,Collectivity of Saint Martin_MAF
Saint Vincent and the Grenadines,Partial,VCT,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,SaintVincentandtheGrenadines,VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines_VCT
Samoa,Partial,WSM,Samoa,WSM,Samoa,WSM,Samoa,WSM,Samoa,Samoa_WSM
Sao Tome and Principe,Partial,STP,Sao Tome and Principe,STP,Sao Tome and Principe,STP,SaoTomeandPrincipe,STP,Sao Tome and Principe,Sao Tome and Principe_STP
Saudi Arabia,Full,SAU,Saudi Arabia,SAU,Saudi Arabia,SAU,SaudiArabia,SAU,Saudi Arabia,Saudi Arabia_SAU
Senegal,Full,SEN,Senegal,SEN,Senegal,SEN,Senegal,SEN,Senegal,Senegal_SEN
Seychelles,Partial,SYC,Seychelles,SYC,Seychelles,SYC,Seychelles,SYC,Seychelles,Seychelles_SYC
Sierra Leone,Full,SLE,Sierra Leone,SLE,Sierra Leone,SLE,SierraLeone,SLE,Sierra Leone,Sierra Leone_SLE
Singapore,Partial,SGP,Singapore,SGP,Singapore,SGP,Singapore,SGP,Singapore,Singapore_SGP
Sint Maarten,Partial,SXM,Sint-Maarten,SXM,Netherlands,NA,NA,SXM,Sint-Maarten,Sint-Maarten_SXM
Solomon Is.,Full,SLB,Solomon Islands,SLB,Solomon Islands,SLB,SolomonIslands,SLB,Solomon Islands,Solomon Islands_SLB
Somalia,Full,SOM,Federal Republic of Somalia,SOM,Federal Republic of Somalia,SOM,Somalia,SOM,Federal Republic of Somalia,Federal Republic of Somalia_SOM
South Africa,Full,ZAF,South Africa,ZAF,South Africa,ZAF,SouthAfrica,ZAF,South Africa,South Africa_ZAF
Sri Lanka,Full,LKA,Sri Lanka,LKA,Sri Lanka,LKA,Sri Lanka,LKA,Sri Lanka,Sri Lanka_LKA
St. Kitts & Nevis,Partial,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,SaintKittsandNevis,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis_KNA
St. Lucia,Partial,LCA,Saint Lucia,LCA,Saint Lucia,LCA,SaintLucia,LCA,Saint Lucia,Saint Lucia_LCA
Sudan,Full,SDN,Sudan,SDN,Sudan,SDN,Sudan,SDN,Sudan,Sudan_SDN
Suriname,Full,SUR,Suriname,SUR,Suriname,SUR,Suriname,SUR,Suriname,Suriname_SUR
Taiwan,Partial,TWN,Taiwan,TWN,Taiwan,TWN,Taiwan,TWN,Taiwan,Taiwan_TWN
Tanzania,Full,TZA,Tanzania,TZA,Tanzania,TZA,UnitedRepublicofTanzania,TZA,Tanzania,Tanzania_TZA
Thailand,Full,THA,Thailand,THA,Thailand,THA,Thailand,THA,Thailand,Thailand_THA
The Bahamas,Full,BHS,Bahamas,BHS,Bahamas,BHS,Bahamas,BHS,Bahamas,Bahamas_BHS
Timor-Leste,Full,TLS,East Timor,TLS,East Timor,TLS,TimorLeste,TLS,East Timor,East Timor_TLS
Togo,Partial,TGO,Togo,TGO,Togo,TGO,Togo,TGO,Togo,Togo_TGO
Tonga,Full,TON,Tonga,TON,Tonga,TON,Tonga,TON,Tonga,Tonga_TON
Trinidad & Tobago,Full,TTO,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,TrinidadandTobago,TTO,Trinidad and Tobago,Trinidad and Tobago_TTO
Turks & Caicos Is.,Full,TCA,Turks and Caicos Islands,TCA,United Kingdom,GBR,TurksandCaicosIslands,TCA,Turks and Caicos Islands,Turks and Caicos Islands_TCA
Tuvalu,Partial,TUV,Tuvalu,TUV,Tuvalu,TUV,Tuvalu,TUV,Tuvalu,Tuvalu_TUV
United Arab Emirates,Full,ARE,United Arab Emirates,ARE,United Arab Emirates,ARE,UnitedArabEmirates,ARE,United Arab Emirates,United Arab Emirates_ARE
United Kingdom,Partial,GBR,United Kingdom,GBR,United Kingdom,GBR,UnitedKingdom,GBR,United Kingdom,United Kingdom_GBR
United States,Full,USA,United States,USA,United States,USA,UnitedStates,USA,United States,United States_USA
United States Virgin Islands,Partial,VIR,United States Virgin Islands,VIR,United States,USA,UnitedStatesVirginIslands,VIR,United States Virgin Islands,United States Virgin Islands_VIR
Vanuatu,Full,VUT,Vanuatu,VUT,Vanuatu,VUT,Vanuatu,VUT,Vanuatu,Vanuatu_VUT
Venezuela,Full,VEN,Venezuela,VEN,Venezuela,VEN,Venezuela,VEN,Venezuela,Venezuela_VEN
Vietnam,Full,VNM,Vietnam,VNM,Vietnam,VNM,Vietnam,VNM,Vietnam,Vietnam_VNM
"Virgin Islands, British",Partial,VGB,British Virgin Islands,VGB,United Kingdom,GBR,BritishVirginIslands,VGB,British Virgin Islands,British Virgin Islands_VGB
Yemen,Full,YEM,Yemen,YEM,Yemen,YEM,Yemen,YEM,Yemen,Yemen_YEM
