"Juris_ISO","Jurisdiction","ISO_code","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","Country","WB_CODE","WB_REGION","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr"
"Barbados_BRB","Barbados","BRB",10.84302734,0,43413.4048005536,103947.264,939.1640899,58.626148223877,0.000107114137512791,358.392700195312,0.00144946193310791,0,0,1,0.00116144152155172,0.0157165553689783,0.01687799689053,"Barbados","BRB","Latin America & Caribbean","Barbados","BRB","Barbados","BRB",2022,9.998995328,5023651139,17225,14880,1.24,0.37,0.54,NA,3,281635,379,1,8418,41.0950736186
"Belize_BLZ","Belize","BLZ",51937.33009,15853.89895,2212824.61819007,2100546.768,1859740.07092473,16.1848440170288,2.95708597645348e-05,254.053680419922,0.00102747946186951,14259.665003347,0.502,1,1.53583150463575,53.3645399718122,54.9003714764479,"Belize","BLZ","Latin America & Caribbean","Belize","BLZ","Belize","BLZ",2022,12.12874526,4640735994,6228,9370,-0.3,-0.78,-0.49,98,72,405272,98,98,98,50898.5834882
"Benin_BEN","Benin","BEN",2884.366411,11.52830733,11521460.0649017,234191.8367,100766.90808412,9.33312797546388,1.70522878216509e-05,154.428466796875,0.000624561225405273,184738.922104771,0.168,1,0.0491850462234742,1.80146342017197,1.85064846639544,"Benin","BEN","Sub-Saharan Africa","Benin","BEN","Benin","BEN",2022,6.253244914,54160663044,1319,3650,-0.15,-0.59,-0.21,NA,2,13352864,379,1,8418,10931.74869769
"Bermuda_BMU","Bermuda","BMU",20.9412013,8.935356382,6390.73915987404,152650.9796,15193.82100988,86.5614910888267,0.000158153993409115,19.4647350311279,7.87220064757918e-05,0,0,4,0.00331193461237915,0.00164853338434946,0.00496046799672861,"Bermuda","BMU","North America","Bermuda","BMU","United Kingdom","GBR",2022,2.927112949,6088718344,114090,90490,1.33,0.7,1.54,NA,15,63532,379,1,8418,79.367152927
"Bonaire_BES","Bonaire","BES",183.992145,181.90113,28558.0343922413,189025.1994,7529.669096,86.5614910888267,0.000158153993409115,549.3935546875,0.00222193432896484,1889.0749263544,0.013,1,0.0290990924876589,0.408818463235377,0.437917555723036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil_BRA","Brazil","BRA",1137555.042,976366.0194,847308314.658315,68926381.35,23084304.2221393,92.4456405639648,0.000168904752500756,300.091522216797,0.00121367214696228,326910.608039829,0.719,7,192.138452824998,1380.61887011191,1572.7573229369,"Brazil","BRA","Latin America & Caribbean","Brazil","BRA","Brazil","BRA",2022,2.900530615,3.84e+12,7507,15830,-0.48,-0.28,-0.46,702,495,215313498,702,702,702,7985636.39484
"British Virgin Islands_VGB","British Virgin Islands","VGB",98.39715739,0,16679.7768824568,336029.3916,15517.014746,14.1919202804565,2.59296465237037e-05,254.568572998047,0.00102956186251892,77.0900364130286,0.005,1,0.00255140351005994,0.101305960629016,0.103857364139076,"Virgin Islands, British","VGB","Latin America & Caribbean","British Virgin Islands","VGB","United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,31305,379,1,8418,372.9252265081
"Brunei_BRN","Brunei","BRN",10982.47277,6653.5747,581537.731076184,487052.3613,239975.8938549,203.028137207031,0.000370946829471268,465.183563232422,0.00188136049212341,78.2512026182113,0.006,0,4.07391345378603,20.6619903752992,24.7359038290852,"Brunei","BRN","East Asia & Pacific","Brunei","BRN","Brunei","BRN",2022,-1.62833154,31104606429,31449,66770,1.25,0.89,1.45,145,6,449002,145,145,145,15924.5855165
"Cambodia_KHM","Cambodia","KHM",62209.71786,40405.82713,18143057.6394631,2022065.279,1178065.81943371,94.8505554199219,0.000173298702783893,234.395492553711,0.000947975066354676,38370.1059353534,0.09,1,10.78086340569,58.9732614162391,69.7541248219292,"Cambodia","KHM","East Asia & Pacific","Cambodia","KHM","Cambodia","KHM",2022,5.16246,89698963681,1625,4560,-1.18,-0.9,-0.42,1423,18,16767842,1423,1423,1423,885244.2851478
"Cameroon_CMR","Cameroon","CMR",197077.9484,149058.51,46498774.345306,3446591.551,2852810.88626329,115.659629821778,0.000211318359959435,401.569458007812,0.00162408342179931,72.0751193792071,0.001,1,41.6461888400581,320.071028798661,361.717217638719,"Cameroon","CMR","Sub-Saharan Africa","Cameroon","CMR","Cameroon","CMR",2022,3.540977863,1.23e+11,1666,3990,-1.09,-1.1,-0.88,903,1,27914536,903,903,903,1779613.874052
"Cayman Islands_CYM","Cayman Islands","CYM",4431.533303,932.1632808,27653.7804466657,218795.9378,66142.8805632,34.3489227294922,6.27579219192947e-05,572.79736328125,0.00231658728821289,0,0,1,0.278113821012428,10.2660337170219,10.5441475380343,"Cayman Is.","CYM","Latin America & Caribbean","Cayman Islands","CYM","United Kingdom","GBR",2021,4.028664289,5217905004,86568,55720,0.5,0.78,1.29,5,52,68706,5,5,5,221.57666515
"China_CHN","China","CHN",20655.83762,2483.330686,937727772.927265,29998195.31759,1879117.63241241,87.1303329467773,0.000159193307893206,118.366912841797,0.000478716040282593,517365.826443107,8.583,9,3.28827111803273,9.88828079416662,13.1765519121994,"China","CHN","East Asia & Pacific","China","CHN","China","CHN",2022,2.990804598,3.03e+13,12556,19310,0.05,0.04,0.84,4305,23,1412175000,4305,4305,4305,889233.809541
"Collectivity of Saint Martin_MAF","Collectivity of Saint Martin","MAF",1.030117602,0.98358938,5547.62488097731,50350.03725,633.7602476,5.94077444076538,1.08542169263894e-05,245.084701538086,0.000991205861818543,0,0,0,1.11811199118e-05,0.00102105860546486,0.00103223972537666,"Saint Martin","MAF","Latin America & Caribbean","Collectivity of Saint Martin","MAF","France","FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,31791,379,1,8418,3.90414571158
"Colombia_COL","Colombia","COL",278409.2844,122820.9821,113675715.802547,10936833.62,6188619.8060793,93.5833536783853,0.000170983435182122,357.656860351562,0.00144648594659424,24635.4891550438,0.028,2,47.6033758333083,402.715117285958,450.318493119266,"Colombia","COL","Latin America & Caribbean","Colombia","COL","Colombia","COL",2022,7.495775781,1.05e+12,6104,16810,-0.34,-0.45,-0.01,293,38,51874024,293,293,293,815739.203292
"Comores_COM","Comores","COM",96.99379247,88.59174293,167267.587894644,475290.0007,11780.9432597,246.721313476562,0.000450777366409034,391.701934814453,0.00158417580304748,0,0,0,0.043722606327651,0.153655219076783,0.197377825404434,"Comoros","COM","Sub-Saharan Africa","Comores","COM","Comores","COM",2022,2.387678485,3206910402,1577,3580,-1.29,-1.22,-1.79,NA,11,836774,379,1,8418,367.6064734613
"Cook Islands_COK","Cook Islands","COK",3.271536431,2.244074782,26100.3627675305,517002.1373,5163.81064007,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,1889.0749263544,0.013,0,0.000517406551146054,0.00356843139925943,0.00408583795040548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
